text_mat_subid,text_mat_age,text_mat_sex,data_mat_acc,data_mat_int,data_mat_r_int,types,emotions
preexp_1,30,male,0.85,7.95,7.7647,real,happy
preexp_1,30,male,0.7,4.65,4.9286,real,neu
preexp_1,30,male,0.9,7.75,7.6667,real,sad
preexp_1,30,male,1,8.45,8.45,cart,happy
preexp_1,30,male,1,6.45,6.45,cart,neu
preexp_1,30,male,0.5,6.9,6.9,cart,sad
preexp_2,25,male,1,6.1,6.1,real,happy
preexp_2,25,male,1,5.6,5.6,real,neu
preexp_2,25,male,0.9,6.2,6.3889,real,sad
preexp_2,25,male,0.85,6.3,6.2941,cart,happy
preexp_2,25,male,0.9,5.2,5.2778,cart,neu
preexp_2,25,male,0.5,4.6,5.6,cart,sad
preexp_3,25,male,0.75,3.35,3.3333,real,happy
preexp_3,25,male,0.95,3.35,3.3684,real,neu
preexp_3,25,male,1,5.45,5.45,real,sad
preexp_3,25,male,1,6.1,6.1,cart,happy
preexp_3,25,male,1,2.7,2.7,cart,neu
preexp_3,25,male,0.9,3.85,3.7222,cart,sad
preexp_4,26,male,1,7.85,7.85,real,happy
preexp_4,26,male,0.65,7.1,7.0769,real,neu
preexp_4,26,male,1,8.05,8.05,real,sad
preexp_4,26,male,0.9,7.7,7.8889,cart,happy
preexp_4,26,male,0.55,6.85,7,cart,neu
preexp_4,26,male,0.35,7.85,7.4286,cart,sad
preexp_5,23,female,1,5.2,5.2,real,happy
preexp_5,23,female,0.6,4.85,5.75,real,neu
preexp_5,23,female,1,7.25,7.25,real,sad
preexp_5,23,female,1,6.75,6.75,cart,happy
preexp_5,23,female,1,4.5,4.5,cart,neu
preexp_5,23,female,0.5,4.3,4.6,cart,sad
preexp_6,21,male,0.95,6.45,6.4737,real,happy
preexp_6,21,male,0.7,5.35,5,real,neu
preexp_6,21,male,1,6.8,6.8,real,sad
preexp_6,21,male,0.9,6.4,6.5556,cart,happy
preexp_6,21,male,0.9,5,5,cart,neu
preexp_6,21,male,0.35,5.8,5.2857,cart,sad
preexp_7,21,female,1,4.6,4.6,real,happy
preexp_7,21,female,0.9,3.9,4.1667,real,neu
preexp_7,21,female,0.9,6.2,6.3333,real,sad
preexp_7,21,female,1,5.7,5.7,cart,happy
preexp_7,21,female,0.9,5,5.3333,cart,neu
preexp_7,21,female,0.65,5.05,5.6154,cart,sad
preexp_8,19,female,1,4.2,4.2,real,happy
preexp_8,19,female,0.9,3.5,3.6667,real,neu
preexp_8,19,female,0.7,5.6,5.5714,real,sad
preexp_8,19,female,1,6.05,6.05,cart,happy
preexp_8,19,female,0.9,4,4.2222,cart,neu
preexp_8,19,female,0.3,4.75,4.5,cart,sad
preexp_9,21,female,0.9,3.9,3.8333,real,happy
preexp_9,21,female,0.55,1.45,1.0909,real,neu
preexp_9,21,female,0.7,5.5,6,real,sad
preexp_9,21,female,1,6.95,6.95,cart,happy
preexp_9,21,female,0.75,1,1,cart,neu
preexp_9,21,female,0.6,4.45,4.9167,cart,sad
preexp_10,25,female,1,4.8,4.8,real,happy
preexp_10,25,female,0.75,4,4.5333,real,neu
preexp_10,25,female,0.45,5.25,6.1111,real,sad
preexp_10,25,female,1,7,7,cart,happy
preexp_10,25,female,0.7,4.95,5.5714,cart,neu
preexp_10,25,female,0.65,6.1,6.7692,cart,sad
preexp_11,25,female,0.95,4.45,4.4211,real,happy
preexp_11,25,female,0.75,5.6,6.2,real,neu
preexp_11,25,female,0.5,7.4,8.2,real,sad
preexp_11,25,female,1,7.3,7.3,cart,happy
preexp_11,25,female,0.95,7.8,7.8947,cart,neu
preexp_11,25,female,0.2,5.35,4.75,cart,sad
preexp_12,23,male,1,6.35,6.35,real,happy
preexp_12,23,male,1,6.35,6.35,real,neu
preexp_12,23,male,0.85,3.5,3.6471,real,sad
preexp_12,23,male,1,6.95,6.95,cart,happy
preexp_12,23,male,0.75,5.2,5.6,cart,neu
preexp_12,23,male,0.55,3.2,3.0909,cart,sad
preexp_13,20,male,1,6.25,6.25,real,happy
preexp_13,20,male,0.7,6.25,6.9286,real,neu
preexp_13,20,male,0.55,6.6,6.3636,real,sad
preexp_13,20,male,1,7.55,7.55,cart,happy
preexp_13,20,male,0.7,6.4,7,cart,neu
preexp_13,20,male,0.5,6.55,6.4,cart,sad
preexp_14,20,female,1,3.3,3.3,real,happy
preexp_14,20,female,0.8,1.45,1.25,real,neu
preexp_14,20,female,0.8,4.35,4.6875,real,sad
preexp_14,20,female,1,5.1,5.1,cart,happy
preexp_14,20,female,0.75,1.6,1,cart,neu
preexp_14,20,female,0.4,4.5,4.875,cart,sad
preexp_15,21,female,1,3.9,3.9,real,happy
preexp_15,21,female,0.75,3.2,3.5333,real,neu
preexp_15,21,female,0.85,4.4,4.5882,real,sad
preexp_15,21,female,0.95,4.85,4.8421,cart,happy
preexp_15,21,female,0.85,2.05,2.2353,cart,neu
preexp_15,21,female,0.45,3.95,4,cart,sad
