text_mat_subid,text_mat_age,text_mat_sex,data_mat_acc,data_mat_int,data_mat_r_int,types,features,emotions
formal_unmask_1,25,female,0.85,5.05,5.588235,real,eye,happy
formal_unmask_1,25,female,0.65,2.25,1,real,eye,neu
formal_unmask_1,25,female,0.3,3.55,4.833333,real,eye,sad
formal_unmask_1,25,female,0.05,2.1,2,real,eyeb,happy
formal_unmask_1,25,female,0.35,2.4,1.571429,real,eyeb,neu
formal_unmask_1,25,female,0,4.8,NaN,real,eyeb,sad
formal_unmask_1,25,female,0.95,5.35,5.421053,real,mouth,happy
formal_unmask_1,25,female,0.7,1.85,1.428571,real,mouth,neu
formal_unmask_1,25,female,0.6,3.4,4.583333,real,mouth,sad
formal_unmask_1,25,female,1,5,5,real,face,happy
formal_unmask_1,25,female,0.6,1.95,1.25,real,face,neu
formal_unmask_1,25,female,0.4,4.75,5.75,real,face,sad
formal_unmask_1,25,female,0,3.65,NaN,cart,eye,happy
formal_unmask_1,25,female,0.35,3.25,2.714286,cart,eye,neu
formal_unmask_1,25,female,0.3,4.3,6,cart,eye,sad
formal_unmask_1,25,female,0,2.65,NaN,cart,eyeb,happy
formal_unmask_1,25,female,0.55,2.55,2.454545,cart,eyeb,neu
formal_unmask_1,25,female,0.1,7.3,5.5,cart,eyeb,sad
formal_unmask_1,25,female,1,5.05,5.05,cart,mouth,happy
formal_unmask_1,25,female,0.15,2.65,3.333333,cart,mouth,neu
formal_unmask_1,25,female,0.9,6.25,6.111111,cart,mouth,sad
formal_unmask_1,25,female,1,5.05,5.05,cart,face,happy
formal_unmask_1,25,female,0.6,2.6,1.916667,cart,face,neu
formal_unmask_1,25,female,0.65,5.7,5.769231,cart,face,sad
formal_unmask_2,21,female,0.7,5.6,5.7143,real,eye,happy
formal_unmask_2,21,female,0.35,5.05,5.2857,real,eye,neu
formal_unmask_2,21,female,0.2,6,7.25,real,eye,sad
formal_unmask_2,21,female,0.15,5.7,6,real,eyeb,happy
formal_unmask_2,21,female,0.7,5.75,5.9286,real,eyeb,neu
formal_unmask_2,21,female,0.1,6.3,7.5,real,eyeb,sad
formal_unmask_2,21,female,1,7.65,7.65,real,mouth,happy
formal_unmask_2,21,female,0.65,5.85,6.3077,real,mouth,neu
formal_unmask_2,21,female,0.05,5.8,7,real,mouth,sad
formal_unmask_2,21,female,0.95,8.35,8.3684,real,face,happy
formal_unmask_2,21,female,0.55,5.95,6.6364,real,face,neu
formal_unmask_2,21,female,0.6,6.65,6.75,real,face,sad
formal_unmask_2,21,female,0.2,6.05,5.75,cart,eye,happy
formal_unmask_2,21,female,0.45,6.05,6.6667,cart,eye,neu
formal_unmask_2,21,female,0.5,6.25,7,cart,eye,sad
formal_unmask_2,21,female,0.5,6.05,6.4,cart,eyeb,happy
formal_unmask_2,21,female,0.7,5.8,5.9286,cart,eyeb,neu
formal_unmask_2,21,female,0.15,6,5.6667,cart,eyeb,sad
formal_unmask_2,21,female,0.9,7.55,7.6667,cart,mouth,happy
formal_unmask_2,21,female,0.8,6.3,6.5,cart,mouth,neu
formal_unmask_2,21,female,0.45,6.7,6.8889,cart,mouth,sad
formal_unmask_2,21,female,0.95,7.45,7.5263,cart,face,happy
formal_unmask_2,21,female,0.7,6.1,6.2857,cart,face,neu
formal_unmask_2,21,female,0.95,7.4,7.4211,cart,face,sad
formal_unmask_3,21,male,0.95,6.15,6.2632,real,eye,happy
formal_unmask_3,21,male,0.4,4.55,4.375,real,eye,neu
formal_unmask_3,21,male,0.15,5.05,4.3333,real,eye,sad
formal_unmask_3,21,male,0.75,3.9,4.2667,real,eyeb,happy
formal_unmask_3,21,male,0.35,3.75,3.5714,real,eyeb,neu
formal_unmask_3,21,male,0.1,5.6,6,real,eyeb,sad
formal_unmask_3,21,male,0.95,6.8,6.8947,real,mouth,happy
formal_unmask_3,21,male,0.55,3.65,3.3636,real,mouth,neu
formal_unmask_3,21,male,0.1,4.1,4,real,mouth,sad
formal_unmask_3,21,male,0.95,7.4,7.5789,real,face,happy
formal_unmask_3,21,male,0.65,4.25,4.7692,real,face,neu
formal_unmask_3,21,male,0.6,5.95,6.1667,real,face,sad
formal_unmask_3,21,male,0.7,5.2,5,cart,eye,happy
formal_unmask_3,21,male,0.6,3.85,3,cart,eye,neu
formal_unmask_3,21,male,0.15,5.6,6,cart,eye,sad
formal_unmask_3,21,male,0.7,4.2,4.1429,cart,eyeb,happy
formal_unmask_3,21,male,0.2,2.8,2,cart,eyeb,neu
formal_unmask_3,21,male,0.1,5.15,5.5,cart,eyeb,sad
formal_unmask_3,21,male,1,5.05,5.05,cart,mouth,happy
formal_unmask_3,21,male,0.65,3.7,4.5385,cart,mouth,neu
formal_unmask_3,21,male,0.15,4.95,6.3333,cart,mouth,sad
formal_unmask_3,21,male,1,6.55,6.55,cart,face,happy
formal_unmask_3,21,male,0.75,3.3,3.8,cart,face,neu
formal_unmask_3,21,male,0.65,6.7,7.0769,cart,face,sad
formal_unmask_4,25,male,0.95,6.8,6.8947,real,eye,happy
formal_unmask_4,25,male,0.9,4.85,5,real,eye,neu
formal_unmask_4,25,male,0.45,5.75,6.3333,real,eye,sad
formal_unmask_4,25,male,0.2,4.85,5,real,eyeb,happy
formal_unmask_4,25,male,0.65,4.75,5,real,eyeb,neu
formal_unmask_4,25,male,0.35,6.9,6.5714,real,eyeb,sad
formal_unmask_4,25,male,1,8.2,8.2,real,mouth,happy
formal_unmask_4,25,male,0.75,4.85,5,real,mouth,neu
formal_unmask_4,25,male,0.35,5.5,6.5714,real,mouth,sad
formal_unmask_4,25,male,1,6.95,6.95,real,face,happy
formal_unmask_4,25,male,0.9,4.9,5,real,face,neu
formal_unmask_4,25,male,0.55,6.25,6.4545,real,face,sad
formal_unmask_4,25,male,0.4,5.95,6.375,cart,eye,happy
formal_unmask_4,25,male,0.55,5.55,5,cart,eye,neu
formal_unmask_4,25,male,0.25,6.5,6.8,cart,eye,sad
formal_unmask_4,25,male,0.9,6.45,6.6111,cart,eyeb,happy
formal_unmask_4,25,male,0.5,5.3,5,cart,eyeb,neu
formal_unmask_4,25,male,0.05,7,6,cart,eyeb,sad
formal_unmask_4,25,male,1,6.75,6.75,cart,mouth,happy
formal_unmask_4,25,male,0.95,5,5,cart,mouth,neu
formal_unmask_4,25,male,0.8,5.85,5.75,cart,mouth,sad
formal_unmask_4,25,male,1,7.1,7.1,cart,face,happy
formal_unmask_4,25,male,0.9,4.9,4.9444,cart,face,neu
formal_unmask_4,25,male,0.45,6.65,7.2222,cart,face,sad
formal_unmask_5,21,female,0.8,4.45,4.5625,real,eye,happy
formal_unmask_5,21,female,0.8,1.15,1,real,eye,neu
formal_unmask_5,21,female,0.3,3.95,3.3333,real,eye,sad
formal_unmask_5,21,female,0.1,1.15,2.5,real,eyeb,happy
formal_unmask_5,21,female,0.9,1.05,1,real,eyeb,neu
formal_unmask_5,21,female,0.7,3.05,3.1429,real,eyeb,sad
formal_unmask_5,21,female,1,4.85,4.85,real,mouth,happy
formal_unmask_5,21,female,0.95,1,1,real,mouth,neu
formal_unmask_5,21,female,0.2,1.35,2,real,mouth,sad
formal_unmask_5,21,female,1,4.15,4.15,real,face,happy
formal_unmask_5,21,female,1,1,1,real,face,neu
formal_unmask_5,21,female,0.8,2.25,2.4375,real,face,sad
formal_unmask_5,21,female,0.1,4.35,4.5,cart,eye,happy
formal_unmask_5,21,female,0.25,4.65,1.2,cart,eye,neu
formal_unmask_5,21,female,0.45,4.6,5.3333,cart,eye,sad
formal_unmask_5,21,female,0.35,1.9,2.7143,cart,eyeb,happy
formal_unmask_5,21,female,0.8,1.35,1.0625,cart,eyeb,neu
formal_unmask_5,21,female,0.95,7.25,7.4211,cart,eyeb,sad
formal_unmask_5,21,female,1,3.75,3.75,cart,mouth,happy
formal_unmask_5,21,female,1,1,1,cart,mouth,neu
formal_unmask_5,21,female,0.45,3.65,3.8889,cart,mouth,sad
formal_unmask_5,21,female,0.95,4.35,4.4211,cart,face,happy
formal_unmask_5,21,female,0.9,1.2,1,cart,face,neu
formal_unmask_5,21,female,0.7,5.45,6.0714,cart,face,sad
formal_unmask_6,22,female,0.9,5.2,5.333333,real,eye,happy
formal_unmask_6,22,female,0.55,2.05,1.272727,real,eye,neu
formal_unmask_6,22,female,0.55,4,4.909091,real,eye,sad
formal_unmask_6,22,female,0.05,1.35,1,real,eyeb,happy
formal_unmask_6,22,female,0.8,1.2,1,real,eyeb,neu
formal_unmask_6,22,female,0.4,5.65,4.875,real,eyeb,sad
formal_unmask_6,22,female,1,5.35,5.35,real,mouth,happy
formal_unmask_6,22,female,0.7,1.65,1.642857,real,mouth,neu
formal_unmask_6,22,female,0,2.65,NaN,real,mouth,sad
formal_unmask_6,22,female,0.95,5.1,5,real,face,happy
formal_unmask_6,22,female,0.65,1.75,1.692308,real,face,neu
formal_unmask_6,22,female,0.4,4.55,4.875,real,face,sad
formal_unmask_6,22,female,0.45,2.65,3.222222,cart,eye,happy
formal_unmask_6,22,female,0.25,2.65,1,cart,eye,neu
formal_unmask_6,22,female,0.1,2.75,5,cart,eye,sad
formal_unmask_6,22,female,0,1.55,NaN,cart,eyeb,happy
formal_unmask_6,22,female,0.75,1.45,1.2,cart,eyeb,neu
formal_unmask_6,22,female,0.35,3.45,3.714286,cart,eyeb,sad
formal_unmask_6,22,female,1,4.45,4.45,cart,mouth,happy
formal_unmask_6,22,female,0.95,1.4,1.263158,cart,mouth,neu
formal_unmask_6,22,female,0,4.4,NaN,cart,mouth,sad
formal_unmask_6,22,female,0.95,5.3,5.210526,cart,face,happy
formal_unmask_6,22,female,0.4,1.85,1,cart,face,neu
formal_unmask_6,22,female,0.55,4.65,5.545455,cart,face,sad
formal_unmask_7,25,female,0.65,4.45,4.769231,real,eye,happy
formal_unmask_7,25,female,0.45,4.15,5,real,eye,neu
formal_unmask_7,25,female,0.25,5.1,4.6,real,eye,sad
formal_unmask_7,25,female,0,3.7,NaN,real,eyeb,happy
formal_unmask_7,25,female,0.5,3.65,5,real,eyeb,neu
formal_unmask_7,25,female,0.3,5.85,5.5,real,eyeb,sad
formal_unmask_7,25,female,1,5.4,5.4,real,mouth,happy
formal_unmask_7,25,female,0.35,3.55,5,real,mouth,neu
formal_unmask_7,25,female,0.35,3.85,5,real,mouth,sad
formal_unmask_7,25,female,1,5.85,5.85,real,face,happy
formal_unmask_7,25,female,0.4,3.8,5,real,face,neu
formal_unmask_7,25,female,0.6,4.4,5.083333,real,face,sad
formal_unmask_7,25,female,0,3.9,NaN,cart,eye,happy
formal_unmask_7,25,female,0.35,3.55,5,cart,eye,neu
formal_unmask_7,25,female,0.75,4.75,5.266667,cart,eye,sad
formal_unmask_7,25,female,0.45,4.05,3.444444,cart,eyeb,happy
formal_unmask_7,25,female,0.25,3.4,5,cart,eyeb,neu
formal_unmask_7,25,female,0.35,6.05,6.714286,cart,eyeb,sad
formal_unmask_7,25,female,1,3.45,3.45,cart,mouth,happy
formal_unmask_7,25,female,0.65,3.75,4.923077,cart,mouth,neu
formal_unmask_7,25,female,0.35,5.05,5.571429,cart,mouth,sad
formal_unmask_7,25,female,0.95,4.85,4.842105,cart,face,happy
formal_unmask_7,25,female,0.45,3.65,5,cart,face,neu
formal_unmask_7,25,female,0.8,5.55,6,cart,face,sad
formal_unmask_8,24,female,0.85,7.5,7.5882,real,eye,happy
formal_unmask_8,24,female,0.35,4.9,4.2857,real,eye,neu
