text_mat_subid,text_mat_age,text_mat_sex,data_mat_acc,data_mat_int,data_mat_r_int,types,features,emotions
formal_mask_1,20,male,0.95,8.05,8.4211,real,eye,happy
formal_mask_1,20,male,0.55,4.45,5,real,eye,neu
formal_mask_1,20,male,0.6,6.5,7.25,real,eye,sad
formal_mask_1,20,male,1,8.85,8.85,real,eyeb,happy
formal_mask_1,20,male,0.85,6.25,6.4118,real,eyeb,neu
formal_mask_1,20,male,0.6,6.25,6.8333,real,eyeb,sad
formal_mask_1,20,male,1,8.3,8.3,real,mouth,happy
formal_mask_1,20,male,0.95,6.6,6.5789,real,mouth,neu
formal_mask_1,20,male,0.75,7.25,7.4,real,mouth,sad
formal_mask_1,20,male,1,8.35,8.35,real,face,happy
formal_mask_1,20,male,0.8,6.5,6.5625,real,face,neu
formal_mask_1,20,male,0.65,6.85,7.0769,real,face,sad
formal_mask_1,20,male,1,7.65,7.65,cart,eye,happy
formal_mask_1,20,male,0.6,5.5,5.8333,cart,eye,neu
formal_mask_1,20,male,0.8,7.15,7.3125,cart,eye,sad
formal_mask_1,20,male,0.95,7.55,7.6842,cart,eyeb,happy
formal_mask_1,20,male,0.5,5.45,5.6,cart,eyeb,neu
formal_mask_1,20,male,0.85,6.45,6.7059,cart,eyeb,sad
formal_mask_1,20,male,0.1,1.55,6,cart,mouth,happy
formal_mask_1,20,male,0.65,2.5,1.3077,cart,mouth,neu
formal_mask_1,20,male,0.95,6.75,7.0526,cart,mouth,sad
formal_mask_1,20,male,1,8.1,8.1,cart,face,happy
formal_mask_1,20,male,0.3,6.35,6.5,cart,face,neu
formal_mask_1,20,male,1,7.75,7.75,cart,face,sad
formal_mask_2,19,male,1,6.55,6.55,real,eye,happy
formal_mask_2,19,male,0.85,6.5,6.5294,real,eye,neu
formal_mask_2,19,male,0.3,6.45,6.6667,real,eye,sad
formal_mask_2,19,male,1,5.8,5.8,real,eyeb,happy
formal_mask_2,19,male,0.75,4.65,4.8667,real,eyeb,neu
formal_mask_2,19,male,0.35,4.4,4.7143,real,eyeb,sad
formal_mask_2,19,male,0.9,5.3,5.3889,real,mouth,happy
formal_mask_2,19,male,0.95,4.8,4.7895,real,mouth,neu
formal_mask_2,19,male,0.5,5.95,6.2,real,mouth,sad
formal_mask_2,19,male,1,6.05,6.05,real,face,happy
formal_mask_2,19,male,0.9,4.65,4.7778,real,face,neu
formal_mask_2,19,male,0.45,6.3,6.3333,real,face,sad
formal_mask_2,19,male,0.95,4.6,4.6842,cart,eye,happy
formal_mask_2,19,male,0.9,3.1,3.1111,cart,eye,neu
formal_mask_2,19,male,0.9,4.2,4.1667,cart,eye,sad
formal_mask_2,19,male,1,4.55,4.55,cart,eyeb,happy
formal_mask_2,19,male,0.9,3.1,3.1667,cart,eyeb,neu
formal_mask_2,19,male,0.85,4.05,4.1176,cart,eyeb,sad
formal_mask_2,19,male,0.4,3.6,4.375,cart,mouth,happy
formal_mask_2,19,male,0.55,2.95,3,cart,mouth,neu
formal_mask_2,19,male,0.1,3.7,4,cart,mouth,sad
formal_mask_2,19,male,0.95,4.9,4.8947,cart,face,happy
formal_mask_2,19,male,0.85,2.95,3,cart,face,neu
formal_mask_2,19,male,1,4.35,4.35,cart,face,sad
formal_mask_3,21,female,1,7.4,7.4,real,eye,happy
formal_mask_3,21,female,0.8,4.85,5.25,real,eye,neu
formal_mask_3,21,female,0.55,4.75,4.9091,real,eye,sad
formal_mask_3,21,female,0.95,7.55,7.6316,real,eyeb,happy
formal_mask_3,21,female,0.75,5.55,6,real,eyeb,neu
formal_mask_3,21,female,0.6,4.85,5.5,real,eyeb,sad
formal_mask_3,21,female,0.85,7.15,7.2941,real,mouth,happy
formal_mask_3,21,female,0.75,4.55,4.8,real,mouth,neu
formal_mask_3,21,female,0.35,5.1,4.8571,real,mouth,sad
formal_mask_3,21,female,1,7.8,7.8,real,face,happy
formal_mask_3,21,female,0.6,5,6.25,real,face,neu
formal_mask_3,21,female,0.6,6,6.0833,real,face,sad
formal_mask_3,21,female,1,7.45,7.45,cart,eye,happy
formal_mask_3,21,female,0.4,4.4,4.625,cart,eye,neu
formal_mask_3,21,female,0.95,6.95,6.9474,cart,eye,sad
formal_mask_3,21,female,1,7.35,7.35,cart,eyeb,happy
formal_mask_3,21,female,0.25,3,5,cart,eyeb,neu
formal_mask_3,21,female,0.75,4.65,4.8667,cart,eyeb,sad
formal_mask_3,21,female,0.5,4.75,5.3,cart,mouth,happy
formal_mask_3,21,female,0.35,4.7,5,cart,mouth,neu
formal_mask_3,21,female,0.8,7.25,7.375,cart,mouth,sad
formal_mask_3,21,female,0.9,7.6,7.5556,cart,face,happy
formal_mask_3,21,female,0.35,3.9,5,cart,face,neu
formal_mask_3,21,female,0.8,6.55,6.8125,cart,face,sad
formal_mask_4,21,male,1,6.7,6.7,real,eye,happy
formal_mask_4,21,male,0.7,4.65,4,real,eye,neu
formal_mask_4,21,male,0.1,6.2,5.5,real,eye,sad
formal_mask_4,21,male,1,7.35,7.35,real,eyeb,happy
formal_mask_4,21,male,0.65,4.95,5.0769,real,eyeb,neu
formal_mask_4,21,male,0.1,4.95,4.5,real,eyeb,sad
formal_mask_4,21,male,0.9,8.1,8.4444,real,mouth,happy
formal_mask_4,21,male,0.9,4.9,5,real,mouth,neu
formal_mask_4,21,male,0.55,6.9,7.9091,real,mouth,sad
formal_mask_4,21,male,0.95,7.7,7.8421,real,face,happy
formal_mask_4,21,male,0.65,4.95,4.6154,real,face,neu
formal_mask_4,21,male,0.35,5.7,6,real,face,sad
formal_mask_4,21,male,1,7.15,7.15,cart,eye,happy
formal_mask_4,21,male,0.8,6.05,6.125,cart,eye,neu
formal_mask_4,21,male,0.7,6.9,6.9286,cart,eye,sad
formal_mask_4,21,male,0.95,6.8,6.7895,cart,eyeb,happy
formal_mask_4,21,male,0.8,6.05,6.125,cart,eyeb,neu
formal_mask_4,21,male,0.7,7.05,7.0714,cart,eyeb,sad
formal_mask_4,21,male,0.15,6.65,8.3333,cart,mouth,happy
formal_mask_4,21,male,0.8,6.6,6.25,cart,mouth,neu
formal_mask_4,21,male,0.9,7.95,8.1111,cart,mouth,sad
formal_mask_4,21,male,0.55,6.95,7.4545,cart,face,happy
formal_mask_4,21,male,0.8,6.45,6.375,cart,face,neu
formal_mask_4,21,male,0.65,7.85,7.9231,cart,face,sad
formal_mask_5,22,female,1,5.85,5.85,real,eye,happy
formal_mask_5,22,female,0.6,3.8,4.1667,real,eye,neu
formal_mask_5,22,female,0.4,5,5.125,real,eye,sad
formal_mask_5,22,female,0.95,6.6,6.7895,real,eyeb,happy
formal_mask_5,22,female,0.55,4.7,4.7273,real,eyeb,neu
formal_mask_5,22,female,0.7,4.8,5,real,eyeb,sad
formal_mask_5,22,female,1,5.1,5.1,real,mouth,happy
formal_mask_5,22,female,0.65,4.2,4.8462,real,mouth,neu
formal_mask_5,22,female,0.4,5.45,5.125,real,mouth,sad
formal_mask_5,22,female,1,5.2,5.2,real,face,happy
formal_mask_5,22,female,0.8,3.95,4.125,real,face,neu
formal_mask_5,22,female,0.45,4.65,4.6667,real,face,sad
formal_mask_5,22,female,0.95,6.15,6.1579,cart,eye,happy
formal_mask_5,22,female,0.1,3.25,4,cart,eye,neu
formal_mask_5,22,female,1,7.45,7.45,cart,eye,sad
formal_mask_5,22,female,0.95,5.05,5.1579,cart,eyeb,happy
formal_mask_5,22,female,0.2,3.55,7.75,cart,eyeb,neu
formal_mask_5,22,female,0.95,6.9,6.9474,cart,eyeb,sad
formal_mask_5,22,female,0.15,4.45,4,cart,mouth,happy
formal_mask_5,22,female,0.35,4.75,5.8571,cart,mouth,neu
formal_mask_5,22,female,0.7,6.2,6.7857,cart,mouth,sad
formal_mask_5,22,female,0.95,4.75,4.8947,cart,face,happy
formal_mask_5,22,female,0.15,3.2,3.3333,cart,face,neu
formal_mask_5,22,female,0.9,6.8,6.8889,cart,face,sad
formal_mask_6,23,female,1,7.95,7.95,real,eye,happy
formal_mask_6,23,female,0.7,3.85,4.0714,real,eye,neu
formal_mask_6,23,female,0.55,5.6,6,real,eye,sad
formal_mask_6,23,female,1,5.85,5.85,real,eyeb,happy
formal_mask_6,23,female,0.75,4.6,5.0667,real,eyeb,neu
formal_mask_6,23,female,0.6,5.6,6.0833,real,eyeb,sad
formal_mask_6,23,female,1,5.35,5.35,real,mouth,happy
formal_mask_6,23,female,0.65,4.4,5.0769,real,mouth,neu
formal_mask_6,23,female,0.55,6.1,5.9091,real,mouth,sad
formal_mask_6,23,female,1,6.25,6.25,real,face,happy
formal_mask_6,23,female,0.9,6.2,6.3333,real,face,neu
formal_mask_6,23,female,0.35,6.35,6.7143,real,face,sad
formal_mask_6,23,female,1,6.05,6.05,cart,eye,happy
formal_mask_6,23,female,0.7,4.25,4.3571,cart,eye,neu
formal_mask_6,23,female,0.8,7.1,7.3125,cart,eye,sad
formal_mask_6,23,female,0.95,6.3,6.4737,cart,eyeb,happy
formal_mask_6,23,female,0.55,5.3,6.0909,cart,eyeb,neu
formal_mask_6,23,female,0.7,7,7.1429,cart,eyeb,sad
formal_mask_6,23,female,0.45,3.95,4.2222,cart,mouth,happy
formal_mask_6,23,female,0.65,3.95,3.3846,cart,mouth,neu
formal_mask_6,23,female,0.65,7.05,7,cart,mouth,sad
formal_mask_6,23,female,0.9,6.45,6.5556,cart,face,happy
formal_mask_6,23,female,0.6,5.35,5.8333,cart,face,neu
formal_mask_6,23,female,0.7,7.55,7.7857,cart,face,sad
formal_mask_7,24,female,0.55,6.3,8,real,eye,happy
formal_mask_7,24,female,0.55,4.1,3.454545,real,eye,neu
formal_mask_7,24,female,0.55,4.15,3.818182,real,eye,sad
formal_mask_7,24,female,0.9,7.3,7.722222,real,eyeb,happy
formal_mask_7,24,female,0.05,2.95,3,real,eyeb,neu
formal_mask_7,24,female,0.25,2.35,4.4,real,eyeb,sad
formal_mask_7,24,female,0.7,4.6,4.571429,real,mouth,happy
formal_mask_7,24,female,0.5,2.9,3.5,real,mouth,neu
formal_mask_7,24,female,0,2.2,NaN,real,mouth,sad
formal_mask_7,24,female,0.5,5.35,8,real,face,happy
formal_mask_7,24,female,0.2,3,4.25,real,face,neu
formal_mask_7,24,female,0,2.7,NaN,real,face,sad
formal_mask_7,24,female,0.9,6.6,7,cart,eye,happy
formal_mask_7,24,female,0.85,3.95,3.882353,cart,eye,neu
formal_mask_7,24,female,0.65,4.8,4.846154,cart,eye,sad
formal_mask_7,24,female,0.85,5.55,5.882353,cart,eyeb,happy
formal_mask_7,24,female,0.7,3.5,3.214286,cart,eyeb,neu
formal_mask_7,24,female,0.45,3.4,3.666667,cart,eyeb,sad
formal_mask_7,24,female,0.15,3.55,4.666667,cart,mouth,happy
formal_mask_7,24,female,0.4,3.25,2.75,cart,mouth,neu
formal_mask_7,24,female,0.4,3.5,3.875,cart,mouth,sad
formal_mask_7,24,female,0.85,6.8,6.941176,cart,face,happy
formal_mask_7,24,female,0.35,4.6,4.571429,cart,face,neu
formal_mask_7,24,female,0.6,4.25,3.916667,cart,face,sad
formal_mask_8,32,female,1,5.1,5.1,real,eye,happy
formal_mask_8,32,female,0.8,5.05,5,real,eye,neu
formal_mask_8,32,female,0.4,5.7,6.75,real,eye,sad
formal_mask_8,32,female,1,5.55,5.55,real,eyeb,happy
formal_mask_8,32,female,0.6,4.2,4.5,real,eyeb,neu
formal_mask_8,32,female,0.45,4.15,4.3333,real,eyeb,sad
formal_mask_8,32,female,0.85,5.05,5.2941,real,mouth,happy
formal_mask_8,32,female,0.8,4.6,4.75,real,mouth,neu
formal_mask_8,32,female,0.45,4.95,5.3333,real,mouth,sad
formal_mask_8,32,female,1,6.1,6.1,real,face,happy
formal_mask_8,32,female,0.7,5.3,5.0714,real,face,neu
formal_mask_8,32,female,0.6,5.8,6.0833,real,face,sad
formal_mask_8,32,female,1,4.6,4.6,cart,eye,happy
formal_mask_8,32,female,0.95,4.9,5,cart,eye,neu
formal_mask_8,32,female,1,7,7,cart,eye,sad
formal_mask_8,32,female,0.9,2.85,2.8333,cart,eyeb,happy
formal_mask_8,32,female,0.85,4.5,4.9412,cart,eyeb,neu
formal_mask_8,32,female,0.9,5,5.3889,cart,eyeb,sad
formal_mask_8,32,female,0.1,4.9,4,cart,mouth,happy
formal_mask_8,32,female,0.85,4.8,5,cart,mouth,neu
formal_mask_8,32,female,1,7.7,7.7,cart,mouth,sad
formal_mask_8,32,female,1,4.15,4.15,cart,face,happy
formal_mask_8,32,female,0.9,4.9,5,cart,face,neu
formal_mask_8,32,female,1,7,7,cart,face,sad
formal_mask_9,22,female,1,7.05,7.05,real,eye,happy
formal_mask_9,22,female,0.75,6.25,6.9333,real,eye,neu
formal_mask_9,22,female,0.3,5.85,6.6667,real,eye,sad
formal_mask_9,22,female,1,7.5,7.5,real,eyeb,happy
formal_mask_9,22,female,0.75,6.3,7.0667,real,eyeb,neu
formal_mask_9,22,female,0.65,6.4,6.8462,real,eyeb,sad
formal_mask_9,22,female,0.95,6.75,7,real,mouth,happy
formal_mask_9,22,female,0.55,5.35,7,real,mouth,neu
formal_mask_9,22,female,0.6,6,6.5,real,mouth,sad
formal_mask_9,22,female,1,7.3,7.3,real,face,happy
formal_mask_9,22,female,0.75,6,6.6,real,face,neu
formal_mask_9,22,female,0.35,6.4,6.7143,real,face,sad
formal_mask_9,22,female,1,6.85,6.85,cart,eye,happy
formal_mask_9,22,female,0.75,6.2,6.7333,cart,eye,neu
formal_mask_9,22,female,0.9,6.65,6.6111,cart,eye,sad
formal_mask_9,22,female,1,6.55,6.55,cart,eyeb,happy
formal_mask_9,22,female,0.6,5.7,6,cart,eyeb,neu
formal_mask_9,22,female,0.95,6.5,6.6316,cart,eyeb,sad
formal_mask_9,22,female,0.3,6.85,6.1667,cart,mouth,happy
formal_mask_9,22,female,0.5,7.05,7,cart,mouth,neu
formal_mask_9,22,female,0.75,7.15,7.2667,cart,mouth,sad
formal_mask_9,22,female,1,6.45,6.45,cart,face,happy
formal_mask_9,22,female,0.6,5.2,6.3333,cart,face,neu
formal_mask_9,22,female,1,7.35,7.35,cart,face,sad
formal_mask_10,22,female,1,4.8,4.8,real,eye,happy
formal_mask_10,22,female,0.8,2.2,2,real,eye,neu
formal_mask_10,22,female,0.4,5,5,real,eye,sad
formal_mask_10,22,female,1,5.55,5.55,real,eyeb,happy
formal_mask_10,22,female,0.65,2.35,2,real,eyeb,neu
formal_mask_10,22,female,0.65,3.55,3.6923,real,eyeb,sad
formal_mask_10,22,female,1,4.5,4.5,real,mouth,happy
formal_mask_10,22,female,0.7,1.95,2,real,mouth,neu
formal_mask_10,22,female,0.65,4.4,4.8462,real,mouth,sad
formal_mask_10,22,female,1,4.65,4.65,real,face,happy
formal_mask_10,22,female,0.5,2,2,real,face,neu
formal_mask_10,22,female,0.6,3.9,4,real,face,sad
formal_mask_10,22,female,1,4.5,4.5,cart,eye,happy
formal_mask_10,22,female,0.95,1.95,2,cart,eye,neu
formal_mask_10,22,female,0.95,4.35,4.3684,cart,eye,sad
formal_mask_10,22,female,0.95,3.9,4,cart,eyeb,happy
formal_mask_10,22,female,0.8,1.9,2,cart,eyeb,neu
formal_mask_10,22,female,1,3.85,3.85,cart,eyeb,sad
formal_mask_10,22,female,0.45,2.65,3.4444,cart,mouth,happy
formal_mask_10,22,female,0.9,2.05,2,cart,mouth,neu
formal_mask_10,22,female,0.95,4.8,4.8947,cart,mouth,sad
formal_mask_10,22,female,1,3.9,3.9,cart,face,happy
formal_mask_10,22,female,1,2,2,cart,face,neu
formal_mask_10,22,female,1,4.6,4.6,cart,face,sad
formal_mask_11,22,female,0.9,5.75,5.8333,real,eye,happy
formal_mask_11,22,female,1,1,1,real,eye,neu
formal_mask_11,22,female,0.15,4.4,3,real,eye,sad
formal_mask_11,22,female,1,5.85,5.85,real,eyeb,happy
formal_mask_11,22,female,0.7,1.95,2.3571,real,eyeb,neu
formal_mask_11,22,female,0.65,2.3,2.2308,real,eyeb,sad
formal_mask_11,22,female,0.95,5.3,5.5263,real,mouth,happy
formal_mask_11,22,female,0.8,1.3,1.25,real,mouth,neu
formal_mask_11,22,female,0.8,3.5,3.4375,real,mouth,sad
formal_mask_11,22,female,0.95,5.8,6.0526,real,face,happy
formal_mask_11,22,female,0.85,1.1,1,real,face,neu
formal_mask_11,22,female,0.45,3.65,4.5556,real,face,sad
formal_mask_11,22,female,0.9,5.6,5.7778,cart,eye,happy
formal_mask_11,22,female,0.8,3.45,3.375,cart,eye,neu
formal_mask_11,22,female,0.95,4.5,4.6316,cart,eye,sad
formal_mask_11,22,female,1,5.7,5.7,cart,eyeb,happy
formal_mask_11,22,female,0.5,1.8,1.5,cart,eyeb,neu
formal_mask_11,22,female,0.5,3.5,3.9,cart,eyeb,sad
formal_mask_11,22,female,0.35,2.3,4.4286,cart,mouth,happy
formal_mask_11,22,female,0.6,2.05,1.0833,cart,mouth,neu
formal_mask_11,22,female,1,4.55,4.55,cart,mouth,sad
formal_mask_11,22,female,0.95,5.7,5.7895,cart,face,happy
formal_mask_11,22,female,0.55,2.5,2,cart,face,neu
formal_mask_11,22,female,0.95,5.85,5.8421,cart,face,sad
formal_mask_12,19,male,1,8.85,8.85,real,eye,happy
formal_mask_12,19,male,0.85,6.85,7.1176,real,eye,neu
